Category,Filename,Title,Spectrum type,Real data or calculated model?,Image path,Image link,Big image path,Big image link,How,Source (text),Source (hyperlink),Source 2 (text),Source 2 (hyperlink),Credit,Additional Info,Notes
Planets,Earth_Transmission,Earth Transmission,Transmission,Captured from Source,,,,,A telescope-mounted spectrometer on Earth captured sunlight that passed (i.e. transmitted) through Earth’s atmosphere and was reflected off the Moon’s surface back to Earth.,doi:10.1038/nature08050,https://www.nature.com/articles/nature08050,https://arxiv.org/abs/0906.2958,https://arxiv.org/abs/0906.2958,"Pallé, E., Osorio, M. R. Z., Barrena, R., Montañés-Rodríguez, P., & Martín, E. L. (2009). Earth’s transmission spectrum from lunar eclipse observations. Nature, 459(7248), 814-816.",See “Supplementary Information” section of paper cited above for a diagram that shows how the spectrum was obtained.,
Planets,Venus_Reflection,Venus Reflection,Reflection,,,,,,,,,,,,,
Planets,Venus_Emission,Venus Emission,Emission,,,,,,,,,,,,,
Planets,Mars_Reflection,Mars Reflection,Reflection,,,https://science.nasa.gov/image-detail/amf-pia02653/,,,,NASA/JPL/MSSS,,,,,,
Planets,Mars_Emission,Mars Emission,Emission,,,https://science.nasa.gov/image-detail/amf-pia02653/,,,,NASA/JPL/MSSS,,,,,,
Planets,Jupiter_Reflection,Jupiter Reflection,Reflection,,,https://science.nasa.gov/missions/hubble/hubbles-new-portrait-of-jupiter/,,,,,,,,,,
Planets,Europa_Reflection,Europa Reflection,Reflection,,,https://science.nasa.gov/jupiter/moons/europa/europa-facts/,,,,,,,,,,
Planets,Saturn_Reflection,Saturn Reflection,Reflection,,,https://science.nasa.gov/saturn/,,,,,,,,,,
Planets,Saturn_Rings_Reflection,Saturn Rings Reflection,Reflection,,,https://science.nasa.gov/saturn/,,,,,,,,,,
Planets,Titan_Reflection,Titan Reflection,Reflection,,,https://science.nasa.gov/saturn/moons/titan/,,,,,,,,,,
Planets,Uranus_Reflection,Uranus Reflection,Reflection,,,https://science.nasa.gov/uranus/,,,,,,,,,,
Planets,Neptune_Reflection,Neptune Reflection,Reflection,,,https://science.nasa.gov/neptune/,,,,,,,,,,
Exoplanets,WASP_17b,WASP-17b,Transmission,,Exoplanets/WASP_17b.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Exoplanets/WASP_17b.jpg,,,,,,,,,,
